asset,price,currency,extraction_date
GC=F,3353.10009765625,USD,2025-08-11 00:00:00-04:00
CL=F,63.959999084472656,USD,2025-08-11 00:00:00-04:00
SI=F,37.6619987487793,USD,2025-08-11 00:00:00-04:00
PL=F,1329.9000244140625,USD,2025-08-11 00:00:00-04:00
HG=F,4.423500061035156,USD,2025-08-11 00:00:00-04:00
NG=F,2.9539999961853027,USD,2025-08-11 00:00:00-04:00
ZC=F,385.0,USD,2025-08-11 00:00:00-04:00
ZS=F,989.5,USD,2025-08-11 00:00:00-04:00
KC=F,320.70001220703125,USD,2025-08-11 00:00:00-04:00
CT=F,65.29000091552734,USD,2025-08-11 00:00:00-04:00
