asset,price,currency,extraction_date
GC=F,3381.89990234375,USD,2025-08-05 00:00:00-04:00
CL=F,65.16000366210938,USD,2025-08-05 00:00:00-04:00
SI=F,37.6870002746582,USD,2025-08-05 00:00:00-04:00
PL=F,1317.199951171875,USD,2025-08-05 00:00:00-04:00
HG=F,4.363999843597412,USD,2025-08-05 00:00:00-04:00
NG=F,3.009999990463257,USD,2025-08-05 00:00:00-04:00
ZC=F,381.5,USD,2025-08-05 00:00:00-04:00
ZS=F,969.0,USD,2025-08-05 00:00:00-04:00
KC=F,298.70001220703125,USD,2025-08-05 00:00:00-04:00
CT=F,65.58999633789062,USD,2025-08-05 00:00:00-04:00
