asset,price,currency,extraction_date
GC=F,3380.0,USD,2025-08-06 00:00:00-04:00
CL=F,64.3499984741211,USD,2025-08-06 00:00:00-04:00
SI=F,37.76599884033203,USD,2025-08-06 00:00:00-04:00
PL=F,1326.0,USD,2025-08-06 00:00:00-04:00
HG=F,4.390999794006348,USD,2025-08-06 00:00:00-04:00
NG=F,3.0769999027252197,USD,2025-08-06 00:00:00-04:00
ZC=F,379.75,USD,2025-08-06 00:00:00-04:00
ZS=F,961.5,USD,2025-08-06 00:00:00-04:00
KC=F,293.3999938964844,USD,2025-08-06 00:00:00-04:00
CT=F,65.69999694824219,USD,2025-08-06 00:00:00-04:00
