asset,price,currency,extraction_date
GC=F,3335.199951171875,USD,2025-08-14 00:00:00-04:00
CL=F,63.959999084472656,USD,2025-08-14 00:00:00-04:00
SI=F,37.981998443603516,USD,2025-08-14 00:00:00-04:00
PL=F,1350.300048828125,USD,2025-08-14 00:00:00-04:00
HG=F,4.4644999504089355,USD,2025-08-14 00:00:00-04:00
NG=F,2.8410000801086426,USD,2025-08-14 00:00:00-04:00
ZC=F,375.0,USD,2025-08-14 00:00:00-04:00
ZS=F,1008.5,USD,2025-08-14 00:00:00-04:00
KC=F,326.5,USD,2025-08-14 00:00:00-04:00
CT=F,66.16999816894531,USD,2025-08-14 00:00:00-04:00
