asset,price,currency,extraction_date
GC=F,3381.699951171875,USD,2025-08-16 00:13:27.624981
CL=F,63.13999938964844,USD,2025-08-16 00:13:27.807928
SI=F,38.02000045776367,USD,2025-08-16 00:13:27.997717
PL=F,1345.199951171875,USD,2025-08-16 00:13:28.172196
HG=F,4.488999843597412,USD,2025-08-16 00:13:28.392211
NG=F,2.9230000972747803,USD,2025-08-16 00:13:28.572973
ZC=F,405.75,USD,2025-08-16 00:13:28.741424
ZS=F,1042.75,USD,2025-08-16 00:13:28.925882
KC=F,336.1000061035156,USD,2025-08-16 00:13:29.098040
CT=F,66.05999755859375,USD,2025-08-16 00:13:29.265956
^GSPC,6450.1201171875,USD,2025-08-16 00:13:29.471578
^DJI,44950.359375,USD,2025-08-16 00:13:29.639603
^IXIC,21621.708984375,USD,2025-08-16 00:13:29.808334
