asset,price,currency,extraction_date
GC=F,3439.10009765625,USD,2025-08-08 00:00:00-04:00
CL=F,63.880001068115234,USD,2025-08-08 00:00:00-04:00
SI=F,38.41699981689453,USD,2025-08-08 00:00:00-04:00
PL=F,1325.5999755859375,USD,2025-08-08 00:00:00-04:00
HG=F,4.45550012588501,USD,2025-08-08 00:00:00-04:00
NG=F,2.990000009536743,USD,2025-08-08 00:00:00-04:00
ZC=F,382.75,USD,2025-08-08 00:00:00-04:00
ZS=F,966.75,USD,2025-08-08 00:00:00-04:00
KC=F,309.3500061035156,USD,2025-08-08 00:00:00-04:00
CT=F,65.31999969482422,USD,2025-08-08 00:00:00-04:00
