asset,price,currency,extraction_date
GC=F,3348.89990234375,USD,2025-08-12 00:00:00-04:00
CL=F,63.16999816894531,USD,2025-08-12 00:00:00-04:00
SI=F,37.89899826049805,USD,2025-08-12 00:00:00-04:00
PL=F,1341.9000244140625,USD,2025-08-12 00:00:00-04:00
HG=F,4.508500099182129,USD,2025-08-12 00:00:00-04:00
NG=F,2.808000087738037,USD,2025-08-12 00:00:00-04:00
ZC=F,371.5,USD,2025-08-12 00:00:00-04:00
ZS=F,1011.75,USD,2025-08-12 00:00:00-04:00
KC=F,315.1499938964844,USD,2025-08-12 00:00:00-04:00
CT=F,67.06999969482422,USD,2025-08-12 00:00:00-04:00
