asset,price,currency,extraction_date
GC=F,3400.300048828125,USD,2025-08-07 00:00:00-04:00
CL=F,63.880001068115234,USD,2025-08-07 00:00:00-04:00
SI=F,38.15800094604492,USD,2025-08-07 00:00:00-04:00
PL=F,1339.9000244140625,USD,2025-08-07 00:00:00-04:00
HG=F,4.378499984741211,USD,2025-08-07 00:00:00-04:00
NG=F,3.066999912261963,USD,2025-08-07 00:00:00-04:00
ZC=F,384.5,USD,2025-08-07 00:00:00-04:00
ZS=F,971.75,USD,2025-08-07 00:00:00-04:00
KC=F,297.79998779296875,USD,2025-08-07 00:00:00-04:00
CT=F,64.95999908447266,USD,2025-08-07 00:00:00-04:00
